Python,108
SQL,70
REST,44
API,68
GIT,40
Django,46
docker,52
Postgresql,40
JS,17
JavaScript,10
AWS,46
Flask,32
HTML,5
redis,35
linux,25
fullstack,1
Artificial intelligence,6
 AI ,7
MySQL,12
OOP,19
react,17
CSS,6
MongoDB,15
FastAPI,17
DRF,8
Machine Learning,14
angular,7
NoSQL,12
pytest,6
networking,5
SQLAlchemy,8
microservice,22
pandas,5
algorithms,10
aiohttp,7
Azure,9
Graphql,1
asyncio,6
unittest,2
beautifulsoup,1
unix,3
Tornado,2
opencv,1
numpy,2
multiprocessing,2
SQLite,1
requests,3
scraping,1
