Python,96
SQL,55
REST,46
API,53
GIT,40
Django,31
docker,47
Postgresql,27
JS,16
JavaScript,7
AWS,50
Flask,17
HTML,6
redis,12
linux,24
Artificial intelligence,6
 AI ,11
MySQL,8
OOP,14
react,16
CSS,7
MongoDB,8
FastAPI,12
DRF,3
Machine Learning,19
angular,6
NoSQL,16
pytest,3
networking,7
SQLAlchemy,5
microservice,29
pandas,3
algorithms,13
aiohttp,6
Azure,20
Graphql,1
asyncio,3
unittest,4
unix,4
Tornado,5
opencv,1
numpy,1
multiprocessing,3
requests,4
scraping,2
